scenario,depth_ft,slope,soil_shear_lbft2,sed_transport_lbs_410ft,sed_transport_rate_kgsm,velocity_ms
pre_control,0.94,0.0090,0.530,20.64,0.24,0.75
pre_control,1.24,0.0067,0.499,15.90,0.19,0.63
pre_control,1.44,0.0120,1.061,84.19,1.00,1.07
pre_control,1.15,0.0095,0.690,35.27,0.42,0.89
pre_control,1.05,0.0090,0.561,23.17,0.28,0.81
pre_control,0.66,0.0070,0.312,6.989,0.08,0.63
pre_control,1.32,0.0110,0.936,65.46,0.78,1.01
pre_control,0.98,0.0076,0.437,13.95,0.16,0.63
pre_control,0.82,0.0056,0.312,6.89,0.08,0.23
pre_control,0.52,0.0210,0.680,34.61,0.41,1.51
pre_control,0.98,0.0130,0.811,48.92,0.58,1.05
pre_control,0.82,0.0140,0.686,34.86,0.41,0.85
pre_control,0.98,0.0096,0.580,24.79,0.29,0.83
pre_control,0.81,0.0096,0.480,16.86,0.20,0.97
pre_control,0.72,0.0105,0.499,18.28,0.22,0.94
pre_control,0.75,0.0112,0.499,18.28,0.22,1.07
pre_control,1.21,0.0110,0.811,48.91,0.58,0.90
pre_control,1.08,0.0151,0.998,33.55,0.39,0.90
pre_control,1.08,0.0132,0.874,29.38,0.35,0.97
pre_control,1.09,0.0108,0.749,41.64,0.495,1.09
pond10_pre,2.11,0.0090,1.18,105.23,1.25,1.20
pond10_pre,3.20,0.0067,1.34,135.69,1.61,1.00
pond10_pre,2.00,0.0120,2.40,302.62,3.60,1.50
pond10_pre,3.11,0.0095,1.84,256.01,3.05,0.90
pond10_pre,2.10,0.0090,1.18,96.21,1.15,1.25
pond10_pre,1.09,0.0070,0.48,16.40,0.20,1.40
pond10_pre,3.21,0.0110,2.20,366.35,4.35,1.30
pond10_pre,1.12,0.0076,0.53,20.93,0.24,0.90
pond10_pre,1.01,0.0056,0.35,9.03,0.11,0.70
pond10_pre,1.21,0.0210,1.58,189.29,2.25,2.00
pond10_pre,1.21,0.0130,0.98,72.25,0.86,1.30
pond10_pre,2.21,0.0140,1.93,281.75,3.35,1.20
pond10_pre,2.02,0.0096,1.21,110.37,1.31,1.00
pond10_pre,3.21,0.0096,1.92,278.83,3.32,1.10
pond10_pre,2.01,0.0105,1.32,131.45,1.56,1.30
pond10_pre,0.98,0.0112,0.68,34.61,0.41,1.20
pond10_pre,2.21,0.0110,1.51,172.19,2.05,1.00
pond10_pre,1.09,0.0151,1.03,79.85,0.95,1.10
pond10_pre,1.31,0.0132,1.08,87.84,1.05,1.30
pond10_pre,2.10,0.0108,1.42,152.21,1.81,1.30
pond10_post,1.92,0.0090,1.08,20.19,0.95,1.00
pond10_post,2.81,0.0067,1.17,94.19,1.12,0.75
pond10_post,2.12,0.0120,1.59,174.39,2.07,1.20
pond10_post,2.73,0.0095,1.62,181.05,2.10,0.90
pond10_post,1.56,0.0090,0.88,47.18,0.56,1.25
pond10_post,1.09,0.0070,0.47,14.99,0.18,1.40
pond10_post,2.36,0.0110,1.61,179.91,2.14,1.20
pond10_post,1.12,0.0076,0.53,19.11,0.23,0.91
pond10_post,0.56,0.0056,0.19,2.49,0.03,0.60
pond10_post,1.00,0.0210,1.31,108.48,1.29,1.08
