scenario,depth_ft,slope,soil_shear_lbft2,sed_transport_lbs_410ft,sed_transport_rate_kgsm,velocity_ms,spot,breadth_m,channel_avg_depth_m
pre_control,0.94,0.009,0.53,20.64,0.24,0.75,1,1.78,2.15
pre_control,1.24,0.0067,0.499,15.9,0.19,0.63,2,1.95,2.1
pre_control,1.44,0.012,1.061,84.19,1.0,1.07,3,1.92,1.84
pre_control,1.15,0.0095,0.69,35.27,0.42,0.89,4,2.01,1.92
pre_control,1.05,0.009,0.561,23.17,0.28,0.81,5,2.2,2.83
pre_control,0.66,0.007,0.312,6.989,0.08,0.63,6,2.3,2.52
pre_control,1.32,0.011,0.936,65.46,0.78,1.01,7,1.94,2.77
pre_control,0.98,0.0076,0.437,13.95,0.16,0.63,8,2.7,2.22
pre_control,0.82,0.0056,0.312,6.89,0.08,0.23,9,2.3,2.37
pre_control,0.52,0.021,0.68,34.61,0.41,1.51,10,2.2,2.31
pre_control,0.98,0.013,0.811,48.92,0.58,1.05,11,1.9,1.95
pre_control,0.82,0.014,0.686,34.86,0.41,0.85,12,3.0,1.66
pre_control,0.98,0.0096,0.58,24.79,0.29,0.83,13,2.2,1.53
pre_control,0.81,0.0096,0.48,16.86,0.2,0.97,14,1.98,1.96
pre_control,0.72,0.0105,0.499,18.28,0.22,0.94,15,2.01,1.84
pre_control,0.75,0.0112,0.499,18.28,0.22,1.07,16,2.23,1.72
pre_control,1.21,0.011,0.811,48.91,0.58,0.9,17,2.52,1.1
pre_control,1.08,0.0151,0.998,33.55,0.39,0.9,18,3.35,1.22
pre_control,1.08,0.0132,0.874,29.38,0.35,0.97,19,2.96,1.73
pre_control,1.09,0.0108,0.749,41.64,0.495,1.09,20,2.81,2.01
pond10_pre,2.11,0.009,1.18,105.23,1.25,1.2,1,1.78,2.15
pond10_pre,3.2,0.0067,1.34,135.69,1.61,1.0,2,1.95,2.1
pond10_pre,2.0,0.012,2.4,302.62,3.6,1.5,3,1.92,1.84
pond10_pre,3.11,0.0095,1.84,256.01,3.05,0.9,4,2.01,1.92
pond10_pre,2.1,0.009,1.18,96.21,1.15,1.25,5,2.2,2.83
pond10_pre,1.09,0.007,0.48,16.4,0.2,1.4,6,2.3,2.52
pond10_pre,3.21,0.011,2.2,366.35,4.35,1.3,7,1.94,2.77
pond10_pre,1.12,0.0076,0.53,20.93,0.24,0.9,8,2.7,2.22
pond10_pre,1.01,0.0056,0.35,9.03,0.11,0.7,9,2.3,2.37
pond10_pre,1.21,0.021,1.58,189.29,2.25,2.0,10,2.2,2.31
pond10_pre,1.21,0.013,0.98,72.25,0.86,1.3,11,1.9,1.95
pond10_pre,2.21,0.014,1.93,281.75,3.35,1.2,12,3.0,1.66
pond10_pre,2.02,0.0096,1.21,110.37,1.31,1.0,13,2.2,1.53
pond10_pre,3.21,0.0096,1.92,278.83,3.32,1.1,14,1.98,1.96
pond10_pre,2.01,0.0105,1.32,131.45,1.56,1.3,15,2.01,1.84
pond10_pre,0.98,0.0112,0.68,34.61,0.41,1.2,16,2.23,1.72
pond10_pre,2.21,0.011,1.51,172.19,2.05,1.0,17,2.52,1.1
pond10_pre,1.09,0.0151,1.03,79.85,0.95,1.1,18,3.35,1.22
pond10_pre,1.31,0.0132,1.08,87.84,1.05,1.3,19,2.96,1.73
pond10_pre,2.1,0.0108,1.42,152.21,1.81,1.3,20,2.81,2.01
pond10_post,1.92,0.009,1.08,20.19,0.95,1.0,1,1.78,2.15
pond10_post,2.81,0.0067,1.17,94.19,1.12,0.75,2,1.95,2.1
pond10_post,2.12,0.012,1.59,174.39,2.07,1.2,3,1.92,1.84
pond10_post,2.73,0.0095,1.62,181.05,2.1,0.9,4,2.01,1.92
pond10_post,1.56,0.009,0.88,47.18,0.56,1.25,5,2.2,2.83
pond10_post,1.09,0.007,0.47,14.99,0.18,1.4,6,2.3,2.52
pond10_post,2.36,0.011,1.61,179.91,2.14,1.2,7,1.94,2.77
pond10_post,1.12,0.0076,0.53,19.11,0.23,0.91,8,2.7,2.22
pond10_post,0.56,0.0056,0.19,2.49,0.03,0.6,9,2.3,2.37
