spot,breadth_m,depth1_m,depth2_m,avg_depth_channel_m,slope_pct
1,1.78,2.10,2.20,2.15,0.90
2,1.95,2.20,2.01,2.10,0.67
3,1.92,1.83,1.85,1.84,1.20
4,2.01,1.95,1.90,1.92,0.95
5,2.20,2.80,2.86,2.83,0.90
6,2.30,2.50,2.54,2.52,0.70
7,1.94,3.00,2.54,2.77,1.10
8,2.70,2.20,2.23,2.22,0.76
9,2.30,2.50,2.23,2.37,0.56
10,2.20,2.30,2.31,2.31,2.10
11,1.90,1.95,1.95,1.95,1.30
12,3.00,1.67,1.65,1.66,1.40
13,2.20,1.53,1.53,1.53,0.96
14,1.98,1.65,1.96,1.96,0.96
15,2.01,1.83,1.84,1.84,1.05
16,2.23,1.76,1.67,1.72,1.12
17,2.52,1.10,1.10,1.10,1.10
18,3.35,1.23,1.20,1.22,1.51
19,2.96,1.76,1.70,1.73,1.32
20,2.81,2.01,2.01,2.01,1.08
