fold,repeat,r2,rmse,mae
0,0,0.9225448557600087,0.3715629831942356,0.2649693222090292
1,0,0.8652276911928896,0.6309913756892144,0.34766141291770025
2,0,-0.4936106462989933,0.8939740017408175,0.4097022469393664
3,0,0.887087987619276,0.2888777122560188,0.2568758396744401
4,0,0.9185616732214725,0.3906465609762498,0.2556530305789593
5,1,0.9083469228851726,0.402278268772075,0.297527040493597
6,1,0.9072423240893729,0.4291650953910713,0.3110634504275397
7,1,0.8597871731737918,0.5791400516691028,0.3129132174900264
8,1,0.15788915657047808,0.9028564795504778,0.44981418957430375
9,1,0.8755831897776328,0.34152614306260004,0.23886857216091695
10,2,0.9405165160671675,0.28870767934563263,0.22743148712012803
11,2,0.5998066194270564,0.9046810977380508,0.46582839848101554
12,2,0.8773021134985836,0.33987808901399863,0.24650918827346854
13,2,0.8996307750043214,0.3748255596723871,0.26979024395289053
14,2,0.8663334387760888,0.5861630222286952,0.3066949216696465
15,3,0.9488350351528405,0.23710260612121026,0.2013782079122329
16,3,0.9401509574122398,0.2718532921309111,0.224403150543571
17,3,0.8167579513645792,0.7404835684199645,0.39106428143765953
18,3,0.34375217813547176,0.8945053585438706,0.44909670303171223
19,3,0.9541493616172821,0.26237615913633205,0.1808360105353875
20,4,0.8635779269681295,0.34794660414603984,0.28930418993968743
21,4,0.9170121940951493,0.4187691130210291,0.2786778257424608
22,4,0.9421587825235374,0.27825323991783724,0.21981253135897783
23,4,0.8849551062920294,0.5539189456423677,0.29967095581798187
24,4,0.272433193895976,0.8827716072825559,0.36877083240061986
25,5,0.48949215036196625,0.8721780056511076,0.37541950165223514
26,5,0.8964953637154643,0.3235445409530899,0.24675359912551725
27,5,0.8810184627933783,0.5338894744065684,0.2831678067067361
28,5,0.8292632163017047,0.4421221163617189,0.2946284619067222
29,5,0.9188629655828646,0.44330114538528276,0.2893358282082477
30,6,0.9480833296039352,0.2223731051308261,0.17944713715351496
31,6,0.9386691175946118,0.3327438655976133,0.2762584718820295
32,6,0.8909925293304285,0.37619873636817464,0.28223551271918695
33,6,0.47089107931236496,0.8945635851553354,0.43265078602588325
34,6,0.8542221547238126,0.6393331692153758,0.33901191924878776
35,7,0.9536309614924048,0.2055483475633021,0.17244198245506487
36,7,0.8116763900236416,0.6871019955530945,0.4145598161030451
37,7,0.9644818706583068,0.17843919611880374,0.15865628069088444
38,7,0.9189380988270169,0.41324320416309035,0.2957360134477532
39,7,0.20223278902633335,0.8897833172757325,0.4203085842429014
40,8,0.91890908420606,0.3964107449848236,0.24542474657839897
41,8,0.9411304960103453,0.23702924232824715,0.19954722162687608
42,8,0.20127838757502203,0.8768719041177782,0.34991253828792335
43,8,0.8637607007326871,0.5652224238354089,0.34364005723032987
44,8,0.9151241620651944,0.40556285066215253,0.2942264304515722
45,9,0.9326360046112827,0.24827636722907037,0.21072261876270187
46,9,0.4033798256560692,1.0684142708125808,0.5442456631049036
47,9,0.9545247448127548,0.2140576879073906,0.17180248495109285
48,9,0.9121589586940797,0.46105310069102384,0.3059132340950095
49,9,0.8716696303404852,0.5215042689262666,0.25315181860985925
